series_id,model,regime,mase,mae
cold_010,ets,cold_start,1.4880954340272687,66.92421665169368
cold_010,lightgbm,cold_start,0.12935313084293978,5.817407106531817
cold_010,seasonal_naive,cold_start,0.740235901799047,33.29067930226139
intermittent_001,chronos_bolt_small,intermittent,1.0010311713549838,2.6521193427698955
intermittent_001,ets,intermittent,1.0450822756791749,2.768827782218813
intermittent_001,lightgbm,intermittent,1.0359283493127664,2.7445754853140305
intermittent_001,seasonal_naive,intermittent,1.1862580677948875,3.142857142857143
intermittent_002,chronos_bolt_small,intermittent,0.9646189865761368,1.510115114705903
intermittent_002,ets,intermittent,1.1382048695836195,1.7818645507807653
intermittent_002,lightgbm,intermittent,1.2331103987431578,1.930439559201117
intermittent_002,seasonal_naive,intermittent,1.4600498838909435,2.2857142857142856
intermittent_003,chronos_bolt_small,intermittent,0.691570013184295,0.7932523148400443
intermittent_003,ets,intermittent,0.9855792177677624,1.1304900169871506
intermittent_003,lightgbm,intermittent,1.2645622562703522,1.4504922392846546
intermittent_003,seasonal_naive,intermittent,0.8718159408381265,1.0
intermittent_004,chronos_bolt_small,intermittent,0.5714958905542346,1.0896665283611842
intermittent_004,ets,intermittent,0.7665206087383082,1.4615185593568307
intermittent_004,lightgbm,intermittent,0.7640694552274772,1.456844965056726
intermittent_004,seasonal_naive,intermittent,0.9365510910246452,1.7857142857142858
intermittent_005,chronos_bolt_small,intermittent,0.9610073852167577,1.8477427576269423
intermittent_005,ets,intermittent,1.1027456097840027,2.1202648859183464
intermittent_005,lightgbm,intermittent,1.127315452596849,2.167505677000539
intermittent_005,seasonal_naive,intermittent,1.0216211484593836,1.9642857142857142
intermittent_006,chronos_bolt_small,intermittent,0.7922230993225959,1.8719164090497153
intermittent_006,ets,intermittent,0.9560562195192884,2.2590319908905334
intermittent_006,lightgbm,intermittent,0.9861603638227364,2.3301640264878416
intermittent_006,seasonal_naive,intermittent,0.9673485668699071,2.2857142857142856
intermittent_007,chronos_bolt_small,intermittent,0.650329280555372,0.9279910751751491
intermittent_007,ets,intermittent,0.8663809060360794,1.2362871741174593
intermittent_007,lightgbm,intermittent,1.0208766348557734,1.4567457353172866
intermittent_007,seasonal_naive,intermittent,1.3265002830722776,1.8928571428571428
intermittent_008,chronos_bolt_small,intermittent,0.8332936490135223,1.3987709603139333
intermittent_008,ets,intermittent,1.083213981030348,1.8182885016164465
